,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
0,root,1,0,997,root,[997],[691663206],"[255, 255, 255]"
1,grey,1,1,8,Basic cell groups and regions,"[997, 8]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[191, 218, 227]"
2,CH,1,2,567,Cerebrum,"[997, 8, 567]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 240, 255]"
3,CTX,1,3,688,Cerebral cortex,"[997, 8, 567, 688]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 255, 184]"
4,CTXpl,1,4,695,Cortical plate,"[997, 8, 567, 688, 695]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[112, 255, 112]"
5,Isocortex,1,5,315,Isocortex,"[997, 8, 567, 688, 695, 315]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[112, 255, 113]"
6,FRP,1,6,184,"Frontal pole, cerebral cortex","[997, 8, 567, 688, 695, 315, 184]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[38, 143, 69]"
7,FRP1,1,7,68,"Frontal pole, layer 1","[997, 8, 567, 688, 695, 315, 184, 68]","[667481440, 184527634, 12, 691663206]","[38, 143, 69]"
8,FRP2/3,1,8,667,"Frontal pole, layer 2/3","[997, 8, 567, 688, 695, 315, 184, 667]","[667481441, 184527634, 12, 691663206]","[38, 143, 69]"
9,FRP5,1,9,526157192,"Frontal pole, layer 5","[997, 8, 567, 688, 695, 315, 184, 526157192]","[184527634, 667481446, 691663206]","[38, 143, 69]"
10,FRP6a,1,10,526157196,"Frontal pole, layer 6a","[997, 8, 567, 688, 695, 315, 184, 526157196]","[667481449, 184527634, 691663206]","[38, 143, 69]"
11,FRP6b,1,11,526322264,"Frontal pole, layer 6b","[997, 8, 567, 688, 695, 315, 184, 526322264]","[667481450, 184527634, 691663206]","[38, 143, 69]"
12,MO,1,12,500,Somatomotor areas,"[997, 8, 567, 688, 695, 315, 500]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[31, 157, 90]"
13,MO1,1,13,107,"Somatomotor areas, Layer 1","[997, 8, 567, 688, 695, 315, 500, 107]",[],"[31, 157, 90]"
14,MO2/3,1,14,219,"Somatomotor areas, Layer 2/3","[997, 8, 567, 688, 695, 315, 500, 219]",[],"[31, 157, 90]"
15,MO5,1,15,299,"Somatomotor areas, Layer 5","[997, 8, 567, 688, 695, 315, 500, 299]",[],"[31, 157, 90]"
16,MO6a,1,16,644,"Somatomotor areas, Layer 6a","[997, 8, 567, 688, 695, 315, 500, 644]",[],"[31, 157, 90]"
17,MO6b,1,17,947,"Somatomotor areas, Layer 6b","[997, 8, 567, 688, 695, 315, 500, 947]",[],"[31, 157, 90]"
18,MOp,1,18,985,Primary motor area,"[997, 8, 567, 688, 695, 315, 500, 985]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891, 114512892]","[31, 157, 90]"
19,MOp1,1,19,320,"Primary motor area, Layer 1","[997, 8, 567, 688, 695, 315, 500, 985, 320]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
20,MOp2/3,1,20,943,"Primary motor area, Layer 2/3","[997, 8, 567, 688, 695, 315, 500, 985, 943]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
21,MOp5,1,21,648,"Primary motor area, Layer 5","[997, 8, 567, 688, 695, 315, 500, 985, 648]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
22,MOp6a,1,22,844,"Primary motor area, Layer 6a","[997, 8, 567, 688, 695, 315, 500, 985, 844]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
23,MOp6b,1,23,882,"Primary motor area, Layer 6b","[997, 8, 567, 688, 695, 315, 500, 985, 882]","[667481450, 184527634, 12, 691663206]","[31, 157, 90]"
24,MOs,1,24,993,Secondary motor area,"[997, 8, 567, 688, 695, 315, 500, 993]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[31, 157, 90]"
